time_s	time_us	ch_0	ch_1	ch_2	ch_3	ped_us	col_us	lon_us	lat_us	err_count
1429813436	313385	1404	1564	1508	1512	0	0	0	0	0
1429813436	413385	1408	1572	1508	1512	0	0	0	0	0
1429813436	513383	1404	1588	1508	1512	0	0	0	0	0
1429813436	613373	1404	1604	1508	1512	0	0	0	0	0
1429813436	713382	1404	1616	1508	1512	0	0	0	0	0
1429813436	813377	1404	1624	1504	1512	0	0	0	0	0
1429813436	913383	1404	1628	1504	1516	0	0	0	0	0
1429813437	13390	1404	1628	1508	1512	0	0	0	0	0
1429813437	113412	1408	1628	1504	1512	0	0	0	0	0
1429813437	213413	1408	1628	1508	1512	0	0	0	0	0
1429813437	313427	1404	1632	1504	1512	0	0	0	0	0
1429813437	413432	1408	1636	1508	1512	0	0	0	0	0
1429813437	513427	1408	1640	1508	1508	0	0	0	0	0
1429813437	613418	1404	1644	1504	1512	0	0	0	0	0
1429813437	713433	1408	1640	1508	1512	0	0	0	0	0
1429813437	813432	1408	1640	1504	1512	0	0	0	0	0
1429813437	913426	1404	1640	1508	1512	0	0	0	0	0
1429813438	13441	1408	1640	1508	1508	0	0	0	0	0
1429813438	113461	1408	1640	1508	1508	0	0	0	0	0
1429813438	233453	1404	1640	1508	1512	0	0	0	0	0
1429813438	333419	1408	1640	1508	1508	0	0	0	0	0
1429813438	433459	1404	1640	1508	1508	0	0	0	0	0
1429813438	553490	1404	1640	1508	1508	0	0	0	0	0
1429813438	653396	1408	1640	1508	1508	0	0	0	0	0
1429813438	753420	1404	1640	1508	1508	0	0	0	0	0
1429813438	853386	1404	1640	1508	1508	0	0	0	0	0
1429813438	953390	1400	1640	1508	1508	0	0	0	0	0
1429813439	93366	1408	1640	1508	1508	0	0	0	0	0
1429813439	193385	1404	1640	1504	1508	0	0	0	0	0
1429813439	293405	1408	1640	1504	1512	0	0	0	0	0
1429813439	393393	1408	1640	1504	1512	0	0	0	0	0
1429813439	493401	1408	1640	1508	1508	0	0	0	0	0
1429813439	593416	1404	1640	1508	1508	0	0	0	0	0
1429813439	693416	1404	1640	1508	1508	0	0	0	0	0
1429813439	793408	1404	1640	1508	1508	0	0	0	0	0
1429813439	893447	1404	1640	1508	1508	0	0	0	0	0
1429813439	993411	1404	1644	1504	1508	0	0	0	0	0
1429813440	93420	1408	1640	1504	1508	0	0	0	0	0
1429813440	193374	1408	1640	1504	1508	0	0	0	0	0
1429813440	293385	1404	1640	1508	1508	0	0	0	0	0
1429813440	393376	1408	1640	1504	1512	0	0	0	0	0
1429813440	493385	1408	1640	1504	1508	0	0	0	0	0
1429813440	593385	1404	1640	1508	1508	0	0	0	0	0
1429813440	693386	1404	1640	1508	1508	0	0	0	0	0
1429813440	793386	1408	1644	1504	1508	0	0	0	0	0
1429813440	893379	1408	1640	1508	1508	0	0	0	0	0
1429813440	993366	1408	1640	1504	1512	0	0	0	0	0
1429813441	93391	1408	1640	1504	1508	0	0	0	0	0
1429813441	193384	1408	1640	1508	1508	0	0	0	0	0
