time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429809782	396374	-162.772	-87.2238	-174.996	0.621615	-0.433953	-0.325569	-9.70462	0.0479004	-0.153281	
1429809782	446151	-162.78	-87.1892	-174.96	0.49454	-0.688487	0.73225	-9.65672	0.0526904	-0.138911	
1429809782	496355	-163.017	-87.1546	-174.693	0.589822	-0.758466	-0.420508	-9.70462	0.00479004	-0.148491	
1429809782	546466	-163.443	-87.1176	-174.237	0.548956	-0.841534	0.220476	-9.63756	0.0287402	-0.177231	
1429809782	596171	-163.829	-87.0834	-173.822	0.691695	-1.24747	-0.0646846	-9.69504	0.0526904	-0.114961	
1429809782	646187	-164.657	-87.0522	-172.959	0.705938	-0.713938	-0.674178	-9.66151	0.0526904	-0.0814307	
1429809782	696191	-165.316	-87.0143	-172.268	0.729813	-0.38323	-0.330044	-9.62319	0.0239502	-0.129331	
1429809782	746561	-165.861	-86.9951	-171.688	0.672861	-0.14883	-0.142966	-9.68546	0.114961	-0.138911	
1429809782	796298	-166.035	-86.9755	-171.477	0.883492	-0.0303324	-0.0763841	-9.6184	0.0622705	-0.110171	
1429809782	846221	-166.074	-86.9627	-171.403	0.70673	0.0444415	0.385898	-9.65672	0.0718506	-0.119751	
1429809782	896293	-166.223	-86.9385	-171.223	0.622148	-0.185414	-0.145975	-9.62798	0.0239502	-0.148491	
1429809782	946514	-166.239	-86.9311	-171.169	0.856182	0.381455	0.21831	-9.58008	0.100591	-0.244292	
1429809782	996226	-166.011	-86.9064	-171.359	0.83836	-0.133137	0.261772	-9.69025	0.0670606	-0.158071	
1429809783	46425	-166.129	-86.885	-171.204	0.943488	-0.386368	0.256528	-9.70941	0.0143701	-0.134121	
1429809783	96530	-166.33	-86.8867	-170.974	0.836326	-0.358196	-0.205485	-9.64714	0.0479004	-0.0958008	
1429809783	146671	-166.541	-86.8813	-170.723	0.818601	-0.0457973	-0.249038	-9.73336	0.0718506	-0.0814307	
1429809783	196282	-166.923	-86.8726	-170.306	0.652017	-0.528299	-0.345974	-9.69983	0.0431104	-0.0814307	
1429809783	246191	-167.224	-86.8767	-169.968	0.604011	0.743309	-0.36197	-9.69983	0.0574805	-0.191602	
1429809783	296185	-167.354	-86.889	-169.805	0.610436	-0.308926	0.0602396	-9.66151	0.0718506	-0.138911	
1429809783	357631	-167.366	-86.8813	-169.754	0.870622	0.167916	-0.0499235	-9.64714	0.114961	-0.205972	
1429809783	396257	-167.21	-86.8744	-169.884	0.877984	-0.22298	0.307262	-9.7142	0.0766406	-0.129331	
1429809783	446235	-167.319	-86.8674	-169.734	0.891111	-0.0346606	-0.377155	-9.71899	0.0431104	-0.124541	
1429809783	496281	-166.981	-86.864	-170.033	0.7647	-0.515398	0.635832	-9.62319	0.0574805	-0.124541	
1429809783	546535	-166.83	-86.8562	-170.144	0.802397	-0.272524	0.296325	-9.69983	0.0670606	-0.162861	
1429809783	596168	-166.672	-86.8611	-170.262	0.903402	-0.154406	-0.211377	-9.65672	0.124541	-0.182021	
