time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429812303	142461	-1.0879	-1.85197	49.444	2.96906	6.18747	3.23277	3.25244	1.18793	-8.23887	
1429812303	192591	-1.36911	-2.13954	49.676	-29.7604	-55.1243	2.61826	-1.02986	4.8092	-15.467	
1429812303	242329	-1.59604	-2.25207	50.0426	-32.6123	-6.45283	1.79417	3.52068	-4.07632	-15.5293	
1429812303	292254	-1.48048	-2.25395	50.2096	-3.36009	-8.10322	0.695837	-2.15552	-0.354463	-6.16478	
1429812303	342365	-1.53904	-2.30131	50.5806	-3.76306	4.54278	2.71325	2.58662	-3.64522	-15.4048	
1429812303	392209	-1.32147	-2.37418	50.7251	39.0811	3.90033	7.11038	1.29331	-0.0718506	-6.47613	
1429812303	442376	-1.4906	-2.30018	51.0423	-8.93141	27.2726	12.6787	-2.05972	-0.613125	-15.2994	
1429812303	492184	-1.92945	-1.53892	51.1287	18.3037	48.9665	2.15484	-4.85231	0.680186	-12.0805	
1429812303	542345	-1.94202	-2.01355	51.2823	-1.74304	-13.7965	3.88378	1.9256	3.07521	-13.9007	
1429812303	592165	-2.44373	-1.84205	51.3291	-27.5899	4.54455	-3.89534	-0.110171	-3.58774	-15.3138	
1429812303	642252	-2.31986	-1.91671	51.4496	-12.0363	-9.2113	-0.49512	2.27048	-2.70637	-8.21492	
1429812303	692164	-2.54842	-1.69183	51.6069	-7.07819	-2.37576	-2.93414	1.6334	-2.97461	-10.8686	
1429812303	742212	-2.19399	-1.5502	51.6889	6.75048	-8.33136	8.51524	-0.153281	1.5855	-12.7223	
1429812303	792192	-2.73778	-1.38786	51.8452	-3.08206	5.62846	5.98529	0.354463	-0.392783	-5.98755	
1429812303	842264	-2.32249	-1.00049	51.7961	24.9491	22.2529	9.11794	-4.99122	5.88217	-7.3096	
1429812303	892223	-2.84865	-1.61374	51.9501	-1.46574	7.65278	-0.636592	-0.550855	3.18059	-15.6491	
1429812303	942275	-2.47626	-1.0872	51.8302	8.77681	2.17956	-3.1204	-2.0214	6.19831	-6.27974	
1429812303	992668	-2.88874	-1.73464	52.0015	-31.0739	-21.5756	-2.21713	0.613125	1.57592	-16.4059	
1429812304	42267	-2.88309	-1.33729	52.0176	-19.0437	7.1769	-5.27894	2.67284	-2.20342	-14.03	
1429812304	92242	-2.58265	-1.41341	52.0753	-4.3806	-2.08715	-0.0109745	5.43669	-2.74948	-8.66997	
1429812304	142415	-2.73202	-0.877588	51.9921	-3.96037	9.62654	-10.8984	1.75315	-6.30369	-14.1929	
1429812304	192202	-2.77874	-0.908501	51.9897	-4.48772	-11.8296	4.21156	-1.26936	-0.713716	-9.34537	
1429812304	242312	-3.02802	-1.07011	52.0872	-1.05223	-0.876672	3.08535	3.8943	-2.32317	-8.47837	
1429812304	292196	-2.91026	-0.63405	52.0037	5.33091	-3.49841	9.89371	-6.16957	2.60578	-9.57529	
1429812304	342337	-3.82817	-1.11952	52.0417	0.648804	27.0948	5.21851	-0.828677	2.25611	-9.38848	
1429812304	392194	-3.40857	-0.672354	51.8436	13.501	-3.62902	-4.63222	-3.39135	4.1817	-4.78525	
1429812304	442456	-3.95108	-1.61243	51.9532	-57.3176	-10.5724	-5.78179	4.74693	-6.57672	-17.8429	
1429812304	492221	-3.74808	-0.670257	51.8029	9.5182	6.72236	-4.40274	-0.402363	-2.97461	-7.78381	
1429812304	542277	-3.48133	-1.39665	51.9254	9.65443	-25.3765	5.33602	5.20677	-0.143701	-8.66039	
1429812304	592261	-3.60036	-0.6912	51.7716	33.0416	35.6795	3.00557	-4.05237	1.98787	-11.7835	
1429812304	642285	-3.09895	-0.88998	51.6698	0.987875	-1.90492	-5.48798	2.20821	-1.59508	-10.8111	
1429812304	692250	-3.06507	-0.612984	50.9051	4.49866	-3.22933	-19.7038	-1.00112	3.08479	-10.8542	
1429812304	742334	-2.95627	-0.845894	50.0223	20.6864	-1.64822	-15.4601	0.493374	2.50519	-10.4902	
1429812304	792265	-2.98336	-0.726544	49.0057	-18.497	6.56394	-17.5681	0.713716	-2.99856	-13.575	
1429812304	842327	-3.00814	-0.819154	48.0859	-0.992154	7.55697	-22.9057	-3.1279	-3.559	-8.98132	
1429812304	892222	-3.04087	-1.1266	47.1781	0.42093	1.95925	-13.1301	-0.737666	3.95657	-6.15041	
1429812304	942331	-2.87658	-1.28704	46.309	-5.61232	5.81172	-17.7273	1.46575	0.249082	-7.78381	
1429812304	992275	-3.0415	-1.32915	45.3635	-26.102	5.8374	-22.0253	2.62973	-3.93262	-13.4744	
1429812305	42368	-3.1701	-1.30456	44.6214	-0.073137	13.609	-12.5442	0.584385	-0.282612	-12.7942	
1429812305	92232	-3.0542	-1.30829	44.0458	20.0802	29.0724	-3.47162	-1.32205	4.10985	-11.1895	
1429812305	142383	-3.07636	-0.979238	43.4789	-13.257	6.48412	-11.9553	1.88249	-0.934058	-8.44484	
1429812305	192248	-3.04878	-0.805893	42.9203	-21.9675	-6.65474	-15.9118	0.182021	-4.30146	-9.22562	
1429812305	242406	-2.75357	-0.502784	42.3224	7.56268	7.88255	-11.6867	-1.80584	2.36628	-11.6542	
1429812305	292338	-2.29699	-0.504634	41.8237	37.404	11.5334	-6.87739	1.7292	3.08958	-11.1416	
